latitude,longitude,temp_mean,temp_std,temp_max,temp_min,pm25_mean,pm25_std,pm25_max,pm25_min,pm10_mean,pm10_std,pm10_max,pm10_min,epa_mean,epa_max,duaod550_mean,duaod550_std,node_id,epa_index,math_danger_score,cluster,ed_score
26.800000000000047,48.79999999999998,24.570039981751847,9.732747004265985,47.06875000000002,3.173460000000034,61.59926532645986,48.92616737208342,408.85433,5.6178857,390.4599586724453,443.2733190211927,3268.8154,10.628446,3.824817518248176,6,0.2952343203982664,0.2125567035488632,26.80_48.80,6,99.5,5,99.5
26.800000000000047,49.19999999999998,24.46654047445258,9.333584381365906,46.15250000000003,2.778920000000028,52.96252551916058,32.86427070914632,340.07948,9.360404,259.5809954708029,269.69589054934056,2704.6126,21.295085,3.5666058394160585,6,0.2540488471058394,0.1872194995898751,26.80_49.20,6,99.5,2,99.5
26.800000000000047,49.59999999999998,24.36948129562046,8.040324598311159,44.00600000000003,6.209600000000023,54.1007192814781,24.566094015918367,257.85207,10.634555,155.14892709945255,127.9062081544284,1715.1727,22.248726,3.2427007299270074,6,0.219256852819343,0.1735151236247668,26.80_49.60,6,99.5,2,99.5
26.800000000000047,49.99999999999998,24.578499279197104,5.760156739779993,37.37540000000001,12.86056000000002,47.87093177007299,20.98746523442398,206.32106,8.795109,127.18260299908758,103.50190433960324,1442.1212999999998,13.576807,2.994525547445256,6,0.2040577260720802,0.164728243506887,26.80_50.00,6,97.5,1,97.5
26.800000000000047,50.39999999999998,24.882772591240897,5.323489559227133,35.96500000000003,14.331700000000012,38.30165722536496,18.537358016544832,158.12446,4.6336246,114.7193313946168,92.33476906923296,1056.7557,9.196453,2.634124087591241,6,0.1927567459172445,0.1579157997439386,26.80_50.40,6,97.5,1,97.5
26.800000000000047,50.799999999999976,25.13316250912411,5.193637476412725,35.58218000000005,15.09146000000004,36.662499106843065,15.934175867028856,128.44521,6.205743,109.12535405291972,80.41686855731666,842.71693,13.68265,2.573905109489051,6,0.1830738276567518,0.1516797592502609,26.80_50.80,6,97.5,1,97.5
26.800000000000047,51.19999999999997,25.357268366788343,5.041538620310179,35.71694000000002,15.493800000000022,35.64351556569343,14.621522001643786,114.10799,9.177963,103.85681293567518,72.05302614732607,742.78756,14.7292285,2.520985401459854,6,0.1746164192730383,0.1466308243009418,26.80_51.20,6,97.5,1,97.5
26.800000000000047,51.59999999999997,25.506140091240898,4.912434107427584,35.548,15.593400000000033,35.04260312490876,13.87505923376627,103.98316,8.607409,99.12282301277372,65.95066615466108,639.0030999999999,17.753594,2.47992700729927,6,0.166147226441697,0.1414405266337349,26.80_51.60,6,97.5,1,97.5
26.800000000000047,51.99999999999997,25.66964411496353,4.775194918368763,35.419820000000016,15.513700000000028,35.398929232025544,13.323580366043974,95.558285,6.9251564000000005,95.90073203923356,60.95428537632114,541.18624,14.649374,2.5164233576642334,6,0.1576953361587591,0.1365194862004716,26.80_52.00,6,97.5,1,97.5
26.800000000000047,52.39999999999997,26.07012196167885,4.657509760792445,35.60586000000001,15.79104000000001,34.90637885027372,12.69238014712581,90.36441,5.589222400000001,91.9651455109489,56.54709654228987,492.67833999999993,10.915795,2.491788321167883,6,0.1503767705935219,0.1331566343371382,26.80_52.40,6,97.5,1,97.5
