location_name,cluster,air_quality_PM2.5,temperature_celsius,air_quality_us-epa-index,uv_index
Port Royal,1,13.422785714285714,20.0,1.0,3.0
Port Royal,1,13.422785714285714,20.0,1.0,3.0
Port Vila,0,8.665851063956605,20.0,1.0,3.0
Port Vila,1,8.665851063956605,20.0,1.0,3.0
Port-Au-Prince,0,32.05472630784731,20.0,1.0,3.0
Port-Au-Prince,1,32.05472630784731,20.0,1.0,3.0
Porto-Novo,1,26.00210386304182,20.0,1.0,3.0
Porto-Novo,0,26.00210386304182,20.0,1.0,3.0
Prague,2,17.526660000127155,20.0,1.0,3.0
Prague,4,17.526660000127155,20.0,1.0,3.0
Praia,1,24.454647611455716,20.0,1.0,3.0
Praia,0,24.454647611455716,20.0,1.0,3.0
Pretoria,0,36.51686170618585,20.0,1.0,3.0
Pretoria,0,36.51686170618585,20.0,1.0,3.0
Pristina,5,7.550000000000001,20.0,1.0,3.0
Pristina,1,7.550000000000001,20.0,1.0,3.0
Pyongyang,4,34.863320002034506,20.0,1.0,3.0
Pyongyang,2,34.863320002034506,20.0,1.0,3.0
Quito,1,10.67808567616515,20.0,1.0,3.0
Quito,0,10.67808567616515,20.0,1.0,3.0
Rabat,2,14.776726666666667,20.0,1.0,3.0
Rabat,1,14.776726666666667,20.0,1.0,3.0
Rangoon,1,27.778241041102707,20.0,1.0,3.0
Rangoon,3,27.778241041102707,20.0,1.0,3.0
Reykjavik,2,3.5367368422725742,20.0,1.0,3.0
Riga,4,13.284753662165249,20.0,1.0,3.0
Riga,2,13.284753662165249,20.0,1.0,3.0
Riyadh,5,137.64978694666877,20.0,1.0,3.0
Riyadh,3,137.64978694666877,20.0,1.0,3.0
Rome,2,16.689335106382977,20.0,1.0,3.0
Rome,4,16.689335106382977,20.0,1.0,3.0
Roseau,1,10.763495990324785,20.0,1.0,3.0
S-Chanf,4,4.76642,20.0,1.0,3.0
S. Manian,1,15.402380952380952,20.0,1.0,3.0
Saint George's,1,12.010008043406796,20.0,1.0,3.0
Saint John's,1,10.57013609644436,20.0,1.0,3.0
Saint John's,1,10.57013609644436,20.0,1.0,3.0
Saint Petersburg,2,0.9,20.0,1.0,3.0
San Andres,1,5.040000000000001,20.0,1.0,3.0
San Ignacio,1,11.550136674259681,20.0,1.0,3.0
San Ignacio,1,11.550136674259681,20.0,1.0,3.0
San Jose,1,9.250651411137111,20.0,1.0,3.0
San Juan,1,19.8,20.0,1.0,3.0
San Marino,2,15.608765908843056,20.0,1.0,3.0
San Marino,4,15.608765908843056,20.0,1.0,3.0
San Salvador,0,20.691859060658704,20.0,1.0,3.0
San Salvador,1,20.691859060658704,20.0,1.0,3.0
Sanaa,5,23.377068965011315,20.0,1.0,3.0
Sanaa,5,23.377068965011315,20.0,1.0,3.0
Sanaa,2,23.377068965011315,20.0,1.0,3.0
Santiago,0,143.81729639519358,20.0,1.0,3.0
Santiago,0,143.81729639519358,20.0,1.0,3.0
Santo Domingo,0,12.937403204272362,20.0,1.0,3.0
Santo Domingo,1,12.937403204272362,20.0,1.0,3.0
Sao Paulo,1,15.45,20.0,1.0,3.0
Sao Paulo,1,15.45,20.0,1.0,3.0
Sarajevo,2,25.979388297999158,20.0,1.0,3.0
Sarajevo,4,25.979388297999158,20.0,1.0,3.0
Sartorio,0,7.515000000000001,20.0,1.0,3.0
Seoul,4,46.90684175658733,20.0,1.0,3.0
Seoul,2,46.90684175658733,20.0,1.0,3.0
Seoul,3,46.90684175658733,20.0,1.0,3.0
Singapore,0,21.03190824544176,20.0,1.0,3.0
Singapore,3,21.03190824544176,20.0,1.0,3.0
Skopje,2,23.779537533256388,20.0,1.0,3.0
Skopje,4,23.779537533256388,20.0,1.0,3.0
Sofia,2,21.451904128020043,20.0,1.0,3.0
Sofia,4,21.451904128020043,20.0,1.0,3.0
Stockholm,2,6.805386152305552,20.0,1.0,3.0
Stockholm,4,6.805386152305552,20.0,1.0,3.0
Sucre,0,7.013686327205587,20.0,1.0,3.0
Sucre,1,7.013686327205587,20.0,1.0,3.0
Surabaya,1,15.100000000000001,20.0,1.0,3.0
Surabaya,3,15.100000000000001,20.0,1.0,3.0
Suva,1,5.764382470499472,20.0,1.0,3.0
Suva,0,5.764382470499472,20.0,1.0,3.0
Tallinn,2,8.37958721755189,20.0,1.0,3.0
Tallinn,4,8.37958721755189,20.0,1.0,3.0
Tallinn,5,8.37958721755189,20.0,1.0,3.0
Tarawa,1,9.511273333396911,20.0,1.0,3.0
Tarawa,1,9.511273333396911,20.0,1.0,3.0
Tashkent,4,23.617257636502128,20.0,1.0,3.0
Tashkent,5,23.617257636502128,20.0,1.0,3.0
Tbilisi,4,14.197209612912584,20.0,1.0,3.0
Tbilisi,2,14.197209612912584,20.0,1.0,3.0
Tegucigalpa,1,11.550629182634264,20.0,1.0,3.0
Tegucigalpa,1,11.550629182634264,20.0,1.0,3.0
Tehran,3,54.37896804362575,20.0,1.0,3.0
Tehran,5,54.37896804362575,20.0,1.0,3.0
Thimphu,0,9.693186666666668,20.0,1.0,3.0
Thimphu,2,9.693186666666668,20.0,1.0,3.0
Tirana,4,14.751770972545232,20.0,1.0,3.0
Tirana,2,14.751770972545232,20.0,1.0,3.0
Tokyo,2,40.277915007653306,20.0,1.0,3.0
Tokyo,2,40.277915007653306,20.0,1.0,3.0
Tripoli,5,25.799999999999997,20.0,1.0,3.0
Tripoli,1,25.799999999999997,20.0,1.0,3.0
Tunis,2,17.705053333333332,20.0,1.0,3.0
Tunis,4,17.705053333333332,20.0,1.0,3.0
Ulaanbaatar,4,22.08261651144523,20.0,1.0,3.0
Ulaanbaatar,2,22.08261651144523,20.0,1.0,3.0
Vaduz,2,7.572430093463029,20.0,1.0,3.0
Vaduz,4,7.572430093463029,20.0,1.0,3.0
Valletta,2,15.366845950801693,20.0,1.0,3.0
Valletta,2,15.366845950801693,20.0,1.0,3.0
Vatican City,2,16.778386454183266,20.0,1.0,3.0
Vatican City,4,16.778386454183266,20.0,1.0,3.0
Vestmannaeyjar,2,4.380516509433962,20.0,1.0,3.0
Vestmannaeyjar,2,4.380516509433962,20.0,1.0,3.0
Victoria,0,8.552596795727638,20.0,1.0,3.0
Victoria,1,8.552596795727638,20.0,1.0,3.0
Vienna,4,17.359001331430935,20.0,1.0,3.0
Vienna,2,17.359001331430935,20.0,1.0,3.0
Vientiane,1,14.9,20.0,1.0,3.0
Vientiane,3,14.9,20.0,1.0,3.0
Vilnius,2,11.598801598059989,20.0,1.0,3.0
Vilnius,4,11.598801598059989,20.0,1.0,3.0
Warsaw,4,24.781972111300483,20.0,1.0,3.0
Washington Harbor,4,6.184834711269242,20.0,1.0,3.0
Washington Harbor,4,6.184834711269242,20.0,1.0,3.0
Washington Park,2,1.775,20.0,1.0,3.0
Wellington,0,6.5686484688353755,20.0,1.0,3.0
Wellington,0,6.5686484688353755,20.0,1.0,3.0
Windhoek,0,6.5177859042553195,20.0,1.0,3.0
Windhoek,2,6.5177859042553195,20.0,1.0,3.0
Yamoussoukro,1,9.235224137931034,20.0,1.0,3.0
Yangon,0,29.527287735849058,20.0,1.0,3.0
Yangon,0,29.527287735849058,20.0,1.0,3.0
Yaounde,1,3.8000000000000003,20.0,1.0,3.0
Yaren,4,22.515473333206177,20.0,1.0,3.0
Yaren,2,22.515473333206177,20.0,1.0,3.0
Yaren,5,22.515473333206177,20.0,1.0,3.0
Yerevan,2,13.23643617059322,20.0,1.0,3.0
Yerevan,4,13.23643617059322,20.0,1.0,3.0
Zagreb,4,22.63977303070761,20.0,1.0,3.0
